State,Participation,Total Score,Year,Test
Alabama,1.0,19.2,2017,ACT
Alaska,0.65,19.8,2017,ACT
Arizona,0.62,19.7,2017,ACT
Arkansas,1.0,19.4,2017,ACT
California,0.31,22.8,2017,ACT
Colorado,1.0,20.8,2017,ACT
Connecticut,0.31,25.2,2017,ACT
Delaware,0.18,24.1,2017,ACT
District of Columbia,0.32,24.2,2017,ACT
Florida,0.73,19.8,2017,ACT
Georgia,0.55,21.4,2017,ACT
Hawaii,0.9,19.0,2017,ACT
Idaho,0.38,22.3,2017,ACT
Illinois,0.93,21.4,2017,ACT
Indiana,0.35,22.6,2017,ACT
Iowa,0.67,21.9,2017,ACT
Kansas,0.73,21.7,2017,ACT
Kentucky,1.0,20.0,2017,ACT
Louisiana,1.0,19.5,2017,ACT
Maine,0.08,24.3,2017,ACT
Maryland,0.28,23.6,2017,ACT
Massachusetts,0.29,25.4,2017,ACT
Michigan,0.29,24.1,2017,ACT
Minnesota,1.0,21.5,2017,ACT
Mississippi,1.0,18.6,2017,ACT
Missouri,1.0,20.4,2017,ACT
Montana,1.0,20.3,2017,ACT
Nebraska,0.84,21.4,2017,ACT
Nevada,1.0,17.8,2017,ACT
New Hampshire,0.18,25.5,2017,ACT
New Jersey,0.34,23.9,2017,ACT
New Mexico,0.66,19.7,2017,ACT
New York,0.31,24.2,2017,ACT
North Carolina,1.0,19.1,2017,ACT
North Dakota,0.98,20.3,2017,ACT
Ohio,0.75,22.0,2017,ACT
Oklahoma,1.0,19.4,2017,ACT
Oregon,0.4,21.8,2017,ACT
Pennsylvania,0.23,23.7,2017,ACT
Rhode Island,0.21,24.0,2017,ACT
South Carolina,1.0,18.7,2017,ACT
South Dakota,0.8,21.8,2017,ACT
Tennessee,1.0,19.8,2017,ACT
Texas,0.45,20.7,2017,ACT
Utah,1.0,20.3,2017,ACT
Vermont,0.29,23.6,2017,ACT
Virginia,0.29,23.8,2017,ACT
Washington,0.29,21.9,2017,ACT
West Virginia,0.69,20.4,2017,ACT
Wisconsin,1.0,20.5,2017,ACT
Wyoming,1.0,20.2,2017,ACT
Alabama,1.0,19.1,2018,ACT
Alaska,0.33,20.8,2018,ACT
Arizona,0.66,19.2,2018,ACT
Arkansas,1.0,19.4,2018,ACT
California,0.27,22.7,2018,ACT
Colorado,0.3,23.9,2018,ACT
Connecticut,0.26,25.6,2018,ACT
Delaware,0.17,23.8,2018,ACT
District of Columbia,0.32,23.6,2018,ACT
Florida,0.66,19.9,2018,ACT
Georgia,0.53,21.4,2018,ACT
Hawaii,0.89,18.9,2018,ACT
Idaho,0.36,22.3,2018,ACT
Illinois,0.43,23.9,2018,ACT
Indiana,0.32,22.5,2018,ACT
Iowa,0.68,21.8,2018,ACT
Kansas,0.71,21.6,2018,ACT
Kentucky,1.0,20.2,2018,ACT
Louisiana,1.0,19.2,2018,ACT
Maine,0.07,24.0,2018,ACT
Maryland,0.31,22.5,2018,ACT
Massachusetts,0.25,25.5,2018,ACT
Michigan,0.22,24.2,2018,ACT
Minnesota,0.99,21.3,2018,ACT
Mississippi,1.0,18.6,2018,ACT
Missouri,1.0,20.0,2018,ACT
Montana,1.0,20.0,2018,ACT
Nebraska,1.0,20.1,2018,ACT
Nevada,1.0,17.7,2018,ACT
New Hampshire,0.16,25.1,2018,ACT
New Jersey,0.31,23.7,2018,ACT
New Mexico,0.67,19.4,2018,ACT
New York,0.27,24.5,2018,ACT
North Carolina,1.0,19.1,2018,ACT
North Dakota,0.98,20.3,2018,ACT
Ohio,1.0,20.3,2018,ACT
Oklahoma,1.0,19.3,2018,ACT
Oregon,0.42,21.3,2018,ACT
Pennsylvania,0.2,23.5,2018,ACT
Rhode Island,0.15,24.2,2018,ACT
South Carolina,1.0,18.3,2018,ACT
South Dakota,0.77,21.9,2018,ACT
Tennessee,1.0,19.6,2018,ACT
Texas,0.45,20.7,2018,ACT
Utah,1.0,20.4,2018,ACT
Vermont,0.24,24.1,2018,ACT
Virginia,0.24,23.9,2018,ACT
Washington,0.24,22.2,2018,ACT
West Virginia,0.65,20.3,2018,ACT
Wisconsin,1.0,20.5,2018,ACT
Wyoming,1.0,20.0,2018,ACT
Alabama,1.0,18.9,2019,ACT
Alaska,0.38,20.1,2019,ACT
Arizona,0.73,19.0,2019,ACT
Arkansas,1.0,19.3,2019,ACT
California,0.23,22.6,2019,ACT
Colorado,0.27,23.8,2019,ACT
Connecticut,0.22,25.5,2019,ACT
Delaware,0.13,24.1,2019,ACT
District of Columbia,0.32,23.5,2019,ACT
Florida,0.54,20.1,2019,ACT
Georgia,0.49,21.4,2019,ACT
Hawaii,0.8,19.0,2019,ACT
Idaho,0.31,22.5,2019,ACT
Illinois,0.35,24.3,2019,ACT
Indiana,0.29,22.5,2019,ACT
Iowa,0.66,21.6,2019,ACT
Kansas,0.72,21.2,2019,ACT
Kentucky,1.0,19.8,2019,ACT
Louisiana,1.0,18.8,2019,ACT
Maine,0.06,24.3,2019,ACT
Maryland,0.28,22.3,2019,ACT
Massachusetts,0.21,25.5,2019,ACT
Michigan,0.19,24.4,2019,ACT
Minnesota,0.95,21.4,2019,ACT
Mississippi,1.0,18.4,2019,ACT
Missouri,0.82,20.8,2019,ACT
Montana,1.0,19.8,2019,ACT
Nebraska,1.0,20.0,2019,ACT
Nevada,1.0,17.9,2019,ACT
New Hampshire,0.14,25.0,2019,ACT
New Jersey,0.25,24.2,2019,ACT
New Mexico,0.63,19.3,2019,ACT
New York,0.22,24.5,2019,ACT
North Carolina,1.0,19.0,2019,ACT
North Dakota,0.96,19.9,2019,ACT
Ohio,1.0,20.0,2019,ACT
Oklahoma,1.0,18.9,2019,ACT
Oregon,0.42,21.1,2019,ACT
Pennsylvania,0.17,23.6,2019,ACT
Rhode Island,0.12,24.7,2019,ACT
South Carolina,0.78,18.8,2019,ACT
South Dakota,0.75,21.6,2019,ACT
Tennessee,1.0,19.4,2019,ACT
Texas,0.39,20.5,2019,ACT
Utah,1.0,20.3,2019,ACT
Vermont,0.2,24.1,2019,ACT
Virginia,0.21,24.0,2019,ACT
Washington,0.24,22.1,2019,ACT
West Virginia,0.49,20.8,2019,ACT
Wisconsin,1.0,20.3,2019,ACT
Wyoming,1.0,19.8,2019,ACT
Alabama,0.05,1165.0,2017,SAT
Alaska,0.38,1080.0,2017,SAT
Arizona,0.3,1116.0,2017,SAT
Arkansas,0.03,1208.0,2017,SAT
California,0.53,1055.0,2017,SAT
Colorado,0.11,1201.0,2017,SAT
Connecticut,1.0,1041.0,2017,SAT
Delaware,1.0,996.0,2017,SAT
